"identifier","label","en-US","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/game-tabs.clickToStart","clickToStart","Click to start","Haz clic para empezar","Klicken zum Starten","","","Click to start","",""
"components/game-tabs.egmaMathDescription","egmaMathDescription","Solve the math problems.","Resuelve los problemas matemáticos.","Löse die Matheaufgaben.","","","Solve the math problems.","",""
"components/game-tabs.egmaMathName","egmaMathName","Math","Matemáticas","Mathe","","","Math","",""
"components/game-tabs.heartsAndFlowersDescription","heartsAndFlowersDescription","Match the correct side to the hearts and flowers.","Haz coincidir el lado correcto con los corazones y las flores.","Wähle die richige Seite für die Herzen und Blumen.","","","Match the correct side to the hearts and flowers.","",""
"components/game-tabs.heartsAndFlowersName","heartsAndFlowersName","Hearts and Flowers","Corazones y Flores","Herzen & Blumen","","","Hearts and Flowers","",""
"components/game-tabs.introDescription","introDescription","Learn how to play our games. ","Aprende a jugar a nuestros juegos. ","Schau dir an, wie man unsere Spiele spielt. ","","","Learn how to play our games. ","",""
"components/game-tabs.introName","introName","Introduction","Introducción","Anleitungen","","","Introduction","",""
"components/game-tabs.matrixReasoningDescription","matrixReasoningDescription","Find the missing piece to complete the puzzle.","","Finde das fehlende Teil, um das Puzzle zu vervollständigen.","","","Find the missing piece to complete the puzzle.","",""
"components/game-tabs.matrixReasoningName","matrixReasoningName","Pattern matching","","Musterspiel","","","Pattern matching","",""
"components/game-tabs.mefsDescription","mefsDescription","Match the shapes and colors.","Empareja las formas y los colores.","Formen und Farben zuordnen.","","","Match the shapes and colors.","",""
"components/game-tabs.mefsName","mefsName","Lion and Monkey","El León y El Mono","Löwe & Affe","","","Lion and Monkey","",""
"components/game-tabs.memoryGameDescription","memoryGameDescription","Watch the squares light up. Remember the order and make the same pattern.","Observa cómo se iluminan los cuadrados. Recuerda el orden y haz el mismo patrón.","Schau dir genau an, wie die Quadrate aufleuchten. Merke dir die Reihenfolge und mach das Muster genauso nach.","","","Watch the squares light up. Remember the order and make the same pattern.","",""
"components/game-tabs.memoryGameName","memoryGameName","Memory","Memoria","Merkspiel","","","Memory","",""
"components/game-tabs.mentalRotationDescription","mentalRotationDescription","Match the pictures.","Empareja las imágenes.","Ordne die Bilder zu.","","","Match the pictures.","",""
"components/game-tabs.mentalRotationName","mentalRotationName","Shape Rotation","Rotación Mental","Formenspiel","","","Shape Rotation","",""
"components/game-tabs.roarInferenceDescription","roarInferenceDescription","Read the stories and answer the questions.","Lee las historias y responde a las preguntas.","Lies die Geschichten und beantworte die Fragen.","","","Read the stories and answer the questions.","",""
"components/game-tabs.roarInferenceName","roarInferenceName","Roar - Inference","Roar - Inferencia","Roar - Inferenz","","","Roar - Inference","",""
"components/game-tabs.sameDifferentSelectionDescription","sameDifferentSelectionDescription","Find things that are the same about the shapes.","Encuentra cosas iguales en las formas.","Finde Dinge, die die Formen gemeinsam haben.","","","Find things that are the same about the shapes.","",""
"components/game-tabs.sameDifferentSelectionName","sameDifferentSelectionName","Same & Different","Iguales y Diferentes","Gleich & Verschieden","","","Same & Different","",""
"components/game-tabs.surveyDescriptionChild","surveyDescriptionChild","Answer questions about your time at school.","Responde a las preguntas sobre tu estancia en el colegio.","Hier geht es um Fragen zu deiner Schulzeit.","","","Answer questions about your time at school.","",""
"components/game-tabs.surveyDescriptionParentPart1","surveyDescriptionParentPart1","This survey will take approximately 20-30 minutes to complete and will ask questions about your child.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su niño(a).","Das Ausfüllen dieser Fragebögen dauert etwa 30-45 Minuten. Teil A enthält Fragen zu Ihrem häuslichen Umfeld und zu Ihrer Person. In Teil B werden Fragen zu Ihrem Kind/ Ihren Kindern gestellt. Anhand des Geburtsdatums, welches im jeweiligen Fragebogen aufgeführt ist, können Sie erkennen, an welches Kind Sie bei der Beantwortung der Fragen denken sollen (falls Sie mehr als ein Kind in dieser Studie haben).","","","This survey will take approximately 20-30 minutes to complete and will ask questions about your child.","",""
"components/game-tabs.surveyDescriptionParentPart2","surveyDescriptionParentPart2","This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 20-30 minutos y se le harán preguntas sobre su hogar y usted mismo(a).","Umfrage für Eltern: Die folgende Umfrage dauert etwa 20-30 Minuten und enthält Fragen Ihrem zu Hause und zu Ihrer Person.","","","This survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself.","",""
"components/game-tabs.surveyDescriptionTeacherPart1","surveyDescriptionTeacherPart1","This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos. Las preguntas indagan por sus antecedentes y creencias sobre la enseñanza.","Diese Umfrage dauert etwa 5-10 Minuten und fragt nach Ihrem Hintergrund und Ihren Ansichten zum Unterrichten.","","","This survey will take approximately 5-10 minutes to complete and asks about your background and beliefs about teaching.","",""
"components/game-tabs.surveyDescriptionTeacherPart2","surveyDescriptionTeacherPart2","This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.","Estimamos que diligenciar la siguiente encuesta le tomará aproximadamente 5-10 minutos y se le hará preguntas sobre el salón o los salones en los que imparte.","Diese Umfrage dauert etwa 5-10 Minuten und es werden Fragen zu den Klassenräumen gestellt, in denen Sie unterrichten.","","","This survey will take approximately 5-10 minutes to complete and asks questions about the classroom(s) you teach.","",""
"components/game-tabs.surveyNameChild","surveyNameChild","Thoughts and Feelings","Pensamientos y Sentimientos","Gedanken & Gefühle","","","Thoughts and Feelings","",""
"components/game-tabs.surveyNameParentPart1","surveyNameParentPart1","Survey - Caregiver","Encuesta para cuidadores","Umfrage - Erwachsene","","","Survey - Caregiver","",""
"components/game-tabs.surveyNameParentPart2","surveyNameParentPart2","Survey - Family","Encuesta para cuidadores","Umfrage - Familie","","","Survey - Family","",""
"components/game-tabs.surveyNameTeacherPart1","surveyNameTeacherPart1","Survey - General","Encuesta de profesores - General","Umfrage - Allgemein","","","Survey - General","",""
"components/game-tabs.surveyNameTeacherPart2","surveyNameTeacherPart2","Survey - Classroom","Encuesta de profesores - Salón","Umfrage - Klassenzimmer","","","Survey - Classroom","",""
"components/game-tabs.surveyProgressGeneral","surveyProgressGeneral","General","General","Allgemein","","","General","",""
"components/game-tabs.surveyProgressGeneralParent","surveyProgressGeneralParent","Home/Caregiver","Familia","zu Hause/ Erwachsener","","","Home/Caregiver","",""
"components/game-tabs.surveyProgressGeneralTeacher","surveyProgressGeneralTeacher","Teacher","Profesor","Lehrer","","","Teacher","",""
"components/game-tabs.surveyProgressSpecificParent","surveyProgressSpecificParent","Child","Niño","Kind","","","Child","",""
"components/game-tabs.surveyProgressSpecificParentMonth","surveyProgressSpecificParentMonth","Month","Mes","Monat","","","Month","",""
"components/game-tabs.surveyProgressSpecificParentYear","surveyProgressSpecificParentYear","Year","Año","Jahr","","","Year","",""
"components/game-tabs.surveyProgressSpecificTeacher","surveyProgressSpecificTeacher","Classroom","Aula","Klassenzimmer","","","Classroom","",""
"components/game-tabs.taskCompleted","taskCompleted","Task Completed!","¡Tarea completa!","Aufgabe abgeschlossen!","","","Task Completed!","",""
"components/game-tabs.theoryOfMindDescription","theoryOfMindDescription","Listen to the stories and answer the questions.","Escucha las historias y responde a las preguntas.","Höre dir die Geschichten an und beantworte dann Fragen dazu.","","","Listen to the stories and answer the questions.","",""
"components/game-tabs.theoryOfMindName","theoryOfMindName","Stories","Historias","Bildergeschichten","","","Stories","",""
"components/game-tabs.trogDescription","trogDescription","Listen to the words and choose the matching picture.","Escucha las palabras y elige la imagen correspondiente.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","","","Listen to the words and choose the matching picture.","",""
"components/game-tabs.trogName","trogName","Sentence Understanding","Comprensión de Frases","Satzverstehen","","","Sentence Undersanding","",""
"components/game-tabs.vocabDescription","vocabDescription","Listen to the word and choose the matching picture.","Escucha la palabra y elige la imagen correspondiente.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","","","Listen to the word and choose the matching picture.","",""
"components/game-tabs.vocabName","vocabName","Vocabulary","Vocabulario","Vokabeln","","","Vocabulary","",""
"components/game-tabs.pa","","Language Sounds","Fonema","Klänge","","","","",""
"components/game-tabs.sre","","Sentence Reading","Frase","Sätze","","","","",""
"components/game-tabs.swr","","Word Reading","Palabra","Wörter","","","","",""
"components/game-tabs.taskNoLongerAvailable","","No longer Available","Ya no está disponible","Nicht mehr verfügbar","","","","",""
"components/game-tabs.taskNotYetAvailable","","Not available yet","Aún no está disponible","Noch nicht verfügbar","","","","",""
"components/game-tabs.paDescription","","Identify the sound in the words.","Identificar el sonido en las palabras","Den Klang in den Wörtern identifizieren.","","","","",""
"components/game-tabs.sreDescription","","Read the sentences as quickly as you can and decide if they are true or false.","Lee las oraciones tan rápido como puedas y decide si son verdaderas o falsas.","Lies die Sätze so schnell wie möglich und entscheide, ob sie wahr oder falsch sind.","","","","",""
"components/game-tabs.swrDescription","","The words will appear quickly on the screen. Decide if they are real or made-up.","Las palabras aparecerán rápidamente en la pantalla. Decide si son reales o inventadas.","Die Wörter werden schnell auf dem Bildschirm erscheinen. Entscheide, ob sie echt oder erfunden sind.","","","","",""
